1.21,23,31.06,0.1,16.7
1.24,24,30.9,14.6,26.2
1.61,25,30.99,6.9,25
1.71,26,30.91,13,22.4
1.79,27,30.98,15.5,20.1
1.96,28,31.13,8.5,20.6
1.97,29,30.88,10.1,26.4
2.19,30,31.14,13.7,26.6
2.26,31,31.01,10.6,26.6
2.23,32,30.99,7.1,21.6
2.19,33,31.08,14.4,24.2
2.2,34,31.02,12.8,26.2
2.22,35,31.03,18,31.3
2.19,36,30.96,10.4,18.8
2,37,31.01,8.4,23.9
1.81,38,30.82,6.4,21.8
1.68,39,31.02,7.9,20.5
1.59,40,30.87,10.3,19.6
1.32,41,31.07,5.2,12.8
1.13,42,31.07,6.1,19
1.18,43,30.99,11.2,18
1.08,44,30.99,-1,6.3
0.74,45,30.94,0.3,7.7
0.48,46,30.83,-4.2,9.1
0.36,47,31,0.6,4
0.13,48,30.94,-7.8,2
-0.09,49,30.91,-8,-3.1
-0.31,50,30.92,-19.7,-9.9
-0.4,51,31,-6.5,5
-0.48,52,30.93,-9.8,-5.2
-0.49,53,30.91,-15.2,-7.5
-0.41,2,30.92,-10.1,1
-0.42,3,30.96,-24.1,-12.4
-0.37,4,31.04,-28.5,-18.5
-0.45,5,30.87,-33.3,-16.3
-0.49,6,30.82,-26.4,-14.3
-0.49,7,30.98,-24,-12.5
-0.44,8,30.94,-22.7,1.7
-0.51,9,31.03,-24.1,-7.3
-0.61,10,30.84,-28.3,-5.8
-0.68,11,31.14,-19.8,-2
-0.55,12,31.07,-8.4,-2
-0.6,13,31.05,-0.8,2.2
-0.62,14,31.06,-0.3,4.6
-0.68,15,30.93,-4.9,6
-0.67,16,30.99,0,7.4
-0.7,17,30.88,-1.6,5.2
-0.55,18,31.01,-4.2,9.2
-0.41,19,30.98,-1,14
-0.3,20,30.86,-1.3,14.3
0.07,21,31.17,14,31.8
0.27,22,31.15,14.4,28.5
0.37,23,30.78,9.8,20
0.71,24,30.97,9,20.8
0.9,25,31.02,9.7,22.1
1.11,26,31.12,7.2,15.1
1.16,27,31.1,14.9,28.7
1.41,28,30.95,13.6,24.9
1.54,29,30.81,6,21.5
1.65,30,31,12.7,26.9
1.74,31,30.97,13.9,29.1
1.75,32,30.8,13.8,21.6
1.77,33,31,10.6,29
1.74,34,31.03,9.6,24
1.71,35,30.99,13.9,28.3
1.85,36,30.91,10,20.2
1.8,37,31.08,10.8,25.4
1.71,38,30.96,12.2,26.3
1.66,39,30.8,3.8,17.4
1.24,40,30.86,5,17.8
1.07,41,31.07,2.6,13.9
0.88,42,31,-1.9,8.4
0.7,43,30.75,0.3,14.3
0.59,44,31.07,2.5,20.2
0.51,45,30.94,-3.4,12.5
0.41,46,30.9,8.7,21
0.42,47,30.99,2.4,9.2
0.14,48,31,-13.2,-3
-0.25,49,30.87,-4.2,3.2
-0.32,50,30.94,-4,5
-0.38,51,30.86,-15.1,-7.5
-0.53,52,30.96,-2.2,-0.7
-0.47,53,31.15,-11.5,-10
-0.47,1,30.88,1.7,4.7
-0.6,2,31.04,-10.9,-2.6
-0.49,3,30.97,-12,-5.8
-0.45,4,30.94,-9,-5.3
-0.51,5,30.84,-13.7,0.3
-0.44,6,31.04,-34.7,-20.8
-0.37,7,30.88,-14,-2.5
-0.36,8,30.98,-24.1,-5.6
-0.47,9,30.88,-29.6,-14.2
-0.42,10,31.08,-10.5,-0.6
-0.56,11,30.83,-8.5,4.9
-0.5,12,31.05,-4.7,2.1
-0.54,13,31.02,-10.2,0
-0.56,14,30.99,-4,2
-0.69,15,30.88,-9.4,3.7
-0.67,16,30.9,2.2,18.9
-0.53,17,30.94,3.5,17.3
-0.4,18,30.92,5,18.3
-0.17,19,30.88,8.1,23.6
0.08,20,30.89,3.8,12.6
0.27,21,31.2,13.1,20.4
0.49,22,30.97,7.6,29
0.95,23,31.13,4.6,19.1
1.16,24,30.98,8.8,21.2
1.23,25,31.09,12.1,15.2
1.43,26,31.04,17.6,26.7
1.54,27,31,16.3,22.5
1.71,28,30.98,17.5,27.7
1.88,29,30.99,15.2,26.3
1.85,30,30.94,15.3,22.9
1.92,31,31,9.1,18.8
1.78,32,30.86,12.2,23.1
1.75,33,31.08,10.8,22.4
1.74,34,30.96,12.2,17.9
1.68,35,31.06,13.6,20.2
1.67,36,31.05,9.9,23.1
1.75,37,30.94,11.8,21.5
1.78,38,31.09,9.1,20.4
1.56,39,30.96,7.6,21.5
1.47,40,31.06,7.4,22.9
1.43,41,30.89,10.6,16
1.11,42,31.02,4.9,14.2
1.04,43,31.15,9.5,12.6
0.88,44,31.08,0.9,16.5
0.52,45,30.99,-3.2,7.2
0.24,46,30.99,-3,0.1
0.02,47,30.95,-3.5,1.5
-0.2,48,31.03,-16.7,-2.4
-0.39,49,31.03,-7.2,0.1
-0.46,50,30.96,-11.3,-0.6
-0.54,51,30.98,-7.2,1.9
-0.53,52,31.11,-12.1,-2.9
-0.51,53,30.88,-7.7,-1.3
-0.52,2,31.04,-17.2,-10.7
-0.45,3,30.98,-11.3,-3
-0.42,4,30.93,-17.2,-9.9
-0.42,5,31,-3.1,-0.2
-0.52,6,30.95,-12.5,-3.6
-0.45,7,31.06,0.4,6
-0.52,8,30.97,-9.8,-7.9
-0.47,9,30.97,-11.1,-10.5
-0.32,10,31.08,-10.9,3.6
-0.48,11,30.96,-3.2,5.9
-0.58,12,30.99,-2.6,1.9
-0.58,13,30.9,-14.3,-5.9
-0.53,14,30.98,-3.7,4.1
-0.44,15,31.09,-1.8,7.7
-0.28,16,30.95,1.1,8.1
-0.27,17,30.97,0,10.1
-0.2,18,31.06,-1.4,17.6
-0.03,19,30.87,6.1,16.7
0.53,20,30.89,2.4,19.1
0.84,21,31.1,12.3,22.1
1.26,22,31.09,9.3,21.5
1.4,23,31,8.1,26.8
1.73,24,30.97,12.6,19.4
1.8,25,30.87,5.5,17.5
